MATRICULA	DESCRIPCION	PRECIO
*098823	Inspección de poste (s/supervisión)	9.07
*094395	Inspección previa por reforma de redes por refuerzo o cambio de poste	53.30
*090248	COLOCACIÓN DE TRÍPODES PARA TRABAJOS EN POSTES DE FE Y DE CAC DE 8,7 M	36.82
*090482	INSTALACIÓN DE POSTES DE PRFV HASTA 8.7 M EN ZONA INACCESIBLE CON CIMENTACIÓN	249.79
*090468	RETIRO DE POSTES DE PRFV HASTA 8.7 M EN ZONA INACCESIBLE CON CIMENTACIÓN	174.23
*090238	ESCALAMIENTO DE POSTE CON ESCALERA	13.05
*091320	LUMINARIA 125/250 HG  70/150/250/400 W NA. O FAROLA COMPLETA MASIVO	86.97
*091316	RETIRO DE LUMINARIA 125/250 HG  70/150/250/400 W NA. O FAROLA COMPLETA MASIVO	60.88
*091322	TRASLADO LUMINARIA 125/250 HG  70/150/250/400 W NA. O FAROLA COMPLETA MASIVO	113.06
*091280	CONEXION A LUMINARIA	9.18
*091346	PASTORAL SIMPLE CUALQUIER TIPO DISPERSO MENOR A 6 PASTORALES	113.35
*091357	RETIRO PASTORAL SIMPLE CUALQUIER TIPO DISPERSO MENOR A 6 PASTORALES	79.34
*091356	TRASLADO PASTORAL SIMPLE CUALQUIER TIPO DISPERSO MENOR A 6 PASTORALES	147.35
*090144	CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 50 HASTA 120 mm2	7.47
*090137	RETIRO DE CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 50 HASTA 120 mm2	5.23
*090143	CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 25 HASTA 50 mm2	4.23
*090138	RETIRO CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 25 HASTA 50 mm2	2.96
*090142	CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 10 HASTA 25 mm2	2.02
*090139	RETIRO CABLE AUTOSOPORTADO DE BT CU O AL MAYOR DE 10 HASTA 25 mm2	1.41
*010101	HORA DE OPERARIO	18.79
*090497	RETIRO DE POSTE TUBULAR DE ACERO EN ZONA INACCESIBLE >7	139.92
*090491	RETIRO DE POSTE TUBULAR DE ACERO EN ZONA INACCESIBLE <7	139.92
*090636	TRASLADO DE POSTES DE CONCRETO A ZONA DE DISPOSICIÓN FINAL	42.89
*990004	Eliminación de escombros temporal y final	82.42
*091796	APERTURA DE HOYO PARA POSTE TERR ROCOSO (>10)	136.76
*091797	APERTURA DE HOYO PARA POSTE TERR. NORMAL (>10)	55.43
*090634	TRASLADO MANUAL DE POSTE DE Fe DE 7 M EN ZONA INACCESIBLE/PENDIENTE	0.35
*090320	RETENIDA-TEMPLADOR AEREO MT Y BT.	83.38
*090319	RETIRO RETENIDA-TEMPLADOR AEREO MT Y BT	58.37
*090392	PERNO PARA ANCLAJE CABLE AUTOSOPORTADO	9.75
*090391	RETIRO PERNO PARA ANCLAJE CABLE AUTOSOPORTADO	6.83
*090394	PUNTO DE FIJACION  CABLE AUTOSOPORTADO	23.75
*090395	RETIRO PUNTO DE FIJACION  CABLE AUTOSOPORTADO	16.62
*090080	CONDUCTOR CU O AL DESNUDO/FORRADO HASTA 25 mm2	1.17
*091608	Empalme aéreo BT con conector cuña, mecánico o a compresión tubular - Por fase	13.44
*091631	EMPALME UNIPOLAR CABLE NYY RECT.O DERIV. HASTA 35 mm2	29.61
*090191	COLOCACIÓN DE CRUCETA O MENSULA SIMPLE DE MADERA O FIERRO	53.70
*090189	RETIRO DE CRUCETA O MENSULA SIMPLE DE MADERA O FIERRO	37.59
*098670	COLOCACIÓN DE CRUCETA O MÉNSULA DOBLE DE MADERA	57.87
*098669	RETIRO CRUCETA O MÉNSULA DOBLE DE MADERA	40.51
*090633	ACARREO DE MATERIALES PARA CIMENTACION DE POSTE BT EN ZONA DE DIFÍCIL ACCESO	0.67
*093242	CAJA DE DISTRIBUC. ACOM. DOMIC. EN POSTE O PARED  (INCLUYE ALIMENTACION A CAJA)	44.96
*093241	RETIRO CAJA DE DISTRIBUC. ACOM. DOMIC. EN POSTE O PARED  (INCLUYE ALIMENTACION A CAJA)	31.47
*093247	TRASLADO CAJA DE DISTRIBUC. ACOM. DOMIC. EN POSTE O PARED  (INCLUYE ALIMENTACION A CAJA)	58.45
*091240	SUBIDA A POSTE DE CONCRETO O FIERRO C/EMPALME P/AP	251.40
*090060	DIAGONAL PARA CRUCETA DE MADERA O FIERRO	20.33
*090061	RETIRO DIAGONAL PARA CRUCETA DE MADERA O FIERRO	14.23
*090065	ABRAZADERA PARA PERFIL DE ESTRUCTURA MT	17.79
*090064	RETIRO ABRAZADERA PARA PERFIL DE ESTRUCTURA MT	12.46
*094913	Punta de diamante para cimentacion de postes BT	27.54
*094918	CIMENTACIÓN PARA POSTE HASTA 9m  POSTE NUEVO (SIN SOLERA)	187.92
*091411	RETIRO CABLE NYY BT HASTA 3-1x16mm2	2.13
*090810	CONECTOR CUALQUIER TIPO HASTA 300 mm2 EN COBRE O ALUMINIO	5.31
*093081	TRASLADO SOLO ACOMETIDA AÉREA	19.62
*098203	Instalación de tubo corrugado/aplicación de silicona en camioneta tipo combi	4.04
*094911	SOLERA DE CONCRETO PARA CUALQUIER TIPO DE POSTE	21.70
*093044	RETIRO CORONA 4 GANCHOS PARA ACOMETIDA DOMICILIARIA	5.56
*093045	CORONA 4 GANCHOS PARA ACOMETIDA DOMICILIARIA	7.94
*090370	CABLEADO DE SISTEMA DE PUESTA A TIERRA PARA POSTE NUEVO	89.91
*091840	ROTURA DE VEREDA CUALQUIER ESPESOR S/MAQ.CORTADORA	119.73
*091842	CORTE DE VEREDA PARA CAMBIO DE POSTE (<2M2)	68.37
*095266	Reparación de vereda para trabajos en poste	119.56
*010213	HORA DE CUADRILLA DE MANTENIMIENTO CON GRUA DE 9 TN Y TRES PERSONAS	201.04
*010250	Uso por hora de martillo demoledor a costo propietario	3.09
