Matricula	DESCRIPCION	Precio	Cantidad
5331600	POSTE DE POLIESTER REFORZADO EN FIBRA DE VIDRIO 8,7 / 200 / 150 / 300 F.S. 2 P.A.P. Y/O L.A.B.T. O M	50	100.00
5331596	POSTE DE POLIESTER REFORZADO EN FIBRA DE VIDRIO 7,5 / 150 / 150 / 270 P.A.P. Y/O L.A.B.T. O M	50	100.00
5331616	POSTE POLIESTER REFORZADO CON FIBRA DE VIDRIO 9 / 200 / 150 / 285 P.A.P. Y/O L.A.B.T.	50	100.00
5411514	CONECTOR BIMET.FORRADO TP.PERFORACION / PIERCING P.COND.CU - AL 10 - 35 / 1,5 - 6MM2 FASE AISL.	50	100.00
5422366	GRAPA DE DOS VIAS CON 2 PERNOS GALV.CALIENTE	50	100.00
5422364	GRAPA DE UNA VIA CON 2 PERNOS GALV.CALIENTE	50	100.00
5463620	OJAL ROSCADO AC.GALV.,DE 5/8PULG.D. X80MML. P.L.A.	50	100.00
1015413	GUARDACABO DE ACERO GALV. P.CABLE 13MM DIAM. 1,5MM ESPESOR P.PROTEGER CABLE PORTANTE	50	100.00
5461238	ARANDELA CUADRADA PLANA DE ACERO GALV. 55 X 4,5MM C.AGUJERO 17,5MM DIAM	50	100.00
5411054	CONEC.CUÑA.TP.UDC.REF.CU.16/6-10MM2   25/1.5-6MM2	50	100.00
5111215	EMPALME DERECHO DERIVACION UNIPOLAR AUTOFUNDENTE P.CABLE SECO 6-120 / 1,5-120MM2 EN RED AEREA B.T.	50	100.00
5021243	CONDUCTOR CABLEADO UNIPOLAR TIPO TW 16MM2 COLOR AMARILLO 450 / 750V	50	100.00
5335110	MENSULA DE MADERA DE 4" X 5" X 4 PIES CON TRATAMIENTO CCB	50	100.00
5337120	DIAGONAL ACERO GALV. 45MM X 45MM X 1,07M X 4MM	50	100.00
6941170	ABRAZADERA DE ACERO GALV. 160 - 190MM DIAM. C.4 PERNOS DE AJUSTE P.SOPORTE DEL BRAZO DE APOYO	50	100.00
